M;38;2,1;40,31;36,43
M;38;2,2;41,24;37,02
M;38;2,3;42,19;37,62
M;39;1,5;35,28;33,24
M;39;1,6;36,1;33,78
M;39;1,7;36,93;34,32
M;39;1,8;37,78;34,88
M;39;1,9;38,65;35,45
M;39;2;39,54;36,02
M;39;2,1;40,46;36,61
M;39;2,2;41,39;37,2
M;39;2,3;42,34;37,81
M;40;1,5;35,41;33,39
M;40;1,6;36,22;33,94
M;40;1,7;37,06;34,49
M;40;1,8;37,91;35,05
M;40;1,9;38,79;35,62
M;40;2;39,68;36,2
M;40;2,1;40,6;36,78
M;40;2,2;41,53;37,38
M;40;2,3;42,49;37,99
M;41;1,5;35,53;33,55
M;41;1,6;36,34;34,09
M;41;1,7;37,18;34,65
M;41;1,8;38,04;35,21
M;41;1,9;38,92;35,78
M;41;2;39,81;36,36
M;41;2,1;40,73;36,96
M;41;2,2;41,67;37,56
M;41;2,3;42,63;38,17
M;42;1,5;35,64;33,7
M;42;1,6;36,46;34,25
M;42;1,7;37,3;34,81
M;42;1,8;38,17;35,37
M;42;1,9;39,04;35,95
M;42;2;39,95;36,53
M;42;2,1;40,87;37,12
M;42;2,2;41,81;37,73
M;42;2,3;42,77;38,34
M;43;1,5;35,76;33,85
M;43;1,6;36,58;34,4
M;43;1,7;37,42;34,96
M;43;1,8;38,29;35,53
M;43;1,9;39,17;36,11
M;43;2;40,07;36,69
M;43;2,1;41;37,29
M;43;2,2;41,94;37,89
M;43;2,3;42,91;38,51
M;44;1,5;35,87;34
M;44;1,6;36,7;34,55
M;44;1,7;37,54;35,11
M;44;1,8;38,41;35,68
M;44;1,9;39,29;36,26
M;44;2;40,2;36,85
M;44;2,1;41,13;37,45
M;44;2,2;42,07;38,06
M;44;2,3;43,04;38,68
M;45;1,5;35,98;34,14
M;45;1,6;36,81;34,7
M;45;1,7;37,66;35,26
M;45;1,8;38,52;35,83
M;45;1,9;39,41;36,41
M;45;2;40,32;37,01
M;45;2,1;41,25;37,61
M;45;2,2;42,2;38,22
M;45;2,3;43,18;38,84
M;46;1,5;36,09;34,28
M;46;1,6;36,92;34,84
M;46;1,7;37,77;35,41
M;46;1,8;38,64;35,98
M;46;1,9;39,53;36,57
M;46;2;40,44;37,16
M;46;2,1;41,38;37,76
M;46;2,2;42,33;38,38
M;46;2,3;43,31;39
